dest,symbol,name,address,origin,sourceAddress,coingeckoId,logo,serumV3Usdc,serumV3Usdt
sol,AVAX,AVAX (Wormhole),KgV1GvrHQmRBY8sHQQeUKwTm2r2h8t4C8qt12Cw1HVE,avax,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,avalanche,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/KgV1GvrHQmRBY8sHQQeUKwTm2r2h8t4C8qt12Cw1HVE/logo.png,E8JQstcwjuqN5kdMyUJLNuaectymnhffkvfg1j286UCr,
sol,JOE,JoeToken (Wormhole),CriXdFS9iRAYbGEQiTcUqbWwG9RBmYt5B6LwTnoJ61Sm,avax,0x6e84a6216ea6dacc71ee8e6b0a5b7322eebc0fdd,joe,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/CriXdFS9iRAYbGEQiTcUqbWwG9RBmYt5B6LwTnoJ61Sm/logo.png,,
sol,BNB,Binance Coin (Wormhole),9gP2kCy3wA1ctvYWQk75guqXuHfrEomqydHLtcTCqiLa,bsc,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,binance-coin,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/9gP2kCy3wA1ctvYWQk75guqXuHfrEomqydHLtcTCqiLa/logo.png,4UPUurKveNEJgBqJzqHPyi8DhedvpYsMXi7d43CjAg2f,FjbKNZME5yVSC1R3HJM99kB3yir3q3frS5MteMFD72sV
sol,BUSDbs,Binance USD (Wormhole from BSC),5RpUwQ8wtdPCZHhu6MERp2RGrpobsbZ6MH5dDHkUjs2,bsc,0xe9e7cea3dedca5984780bafc599bd69add087d56,binance-usd,https://etherscan.io/token/images/binanceusd_32.png,,
sol,CAKE,PancakeSwap Token (Wormhole),J8LKx7pr9Zxh9nMhhT7X3EBmj5RzuhFrHKyJAe2F2i9S,bsc,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,pancakeswap,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/J8LKx7pr9Zxh9nMhhT7X3EBmj5RzuhFrHKyJAe2F2i9S/logo.png,,
sol,USDCbs,USD Coin (Wormhole from BSC),FCqfQSujuPxy6V42UvafBhsysWtEq1vhjfMN1PUbgaxA,bsc,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,usd-coin,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/logo.png,,
sol,USDTbs,Tether USD (Wormhole from BSC),8qJSyQprMC57TWKaYEmetUR3UUiTP2M3hXdcvFhkZdmv,bsc,0x55d398326f99059fF775485246999027B3197955,tether,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB/logo.svg,,
sol,1INCH,1INCH Token (Wormhole from Ethereum),AjkPkq3nsyDe1yKcbyZT7N4aK4Evv9om9tzhQD3wsRC,eth,0x111111111117dC0aa78b770fA6A738034120C302,1inch,,EQcNRGwogvYJDizG9Ek1qf6syi5UghkYDcUwgmycawYU,B3UpqhaGZc9yXhELknAAXuAoKzCk4QAoqaiVUffgMQBH
sol,1SOL,1sol.io (Wormhole),4ThReWAbAVZjNVgs5Ui9Pk3cZ5TYaD9u6Y89fp6EFzoF,eth,0x009178997aff09a67d4caccfeb897fb79d036214,1sol,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/4ThReWAbAVZjNVgs5Ui9Pk3cZ5TYaD9u6Y89fp6EFzoF/logo.png,,
sol,AAVE,Aave Token (Wormhole from Ethereum),3vAs4D1WE6Na4tCgt4BApgFfENbm8WY7q4cSPD1yM4Cg,eth,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,aave,,8WZrmdpLckptiVKd2fPHPjewRVYQGQkjxi9vzRYG1sfs,LghsMERQWQFK3zWMTrUkoyAJARQw2wSmcYZjexeN3zy
