symbol,name,destAddresses,sourceAddress,coingeckoId,logo,ethAddress,ethMarkets,terraAddress,terraMarkets,bscAddress,bscMarkets,maticAddress,maticMarkets,avaxAddress,avaxMarkets,oasisAddress,oasisMarkets,source,solAddress,solMarkets
ATLAS,Star Atlas (Wormhole),"{'eth': '0xb9F747162AB1E95d07361f9048BcDF6eDdA9eEA7', 'terra': 'terra1rg8f993m9834afwazersesgx7jjxv4p87q9wvc', 'bsc': '0x83850D97018f665EB746FBb8f18351e977d1b0D6'}",ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,star-atlas,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx/logo.png,0xb9F747162AB1E95d07361f9048BcDF6eDdA9eEA7,,terra1rg8f993m9834afwazersesgx7jjxv4p87q9wvc,,0x83850D97018f665EB746FBb8f18351e977d1b0D6,['pancakeswap'],,,,,,,sol,,
AURY,Aurory (Wormhole),{'bsc': '0xF5a367b7809e5683538C93Ce638B9258A0B88271'},AURYydfxJib1ZkTir1Jn1J9ECYUtjb6rKQVmtYaixWPP,aurory,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/AURYydfxJib1ZkTir1Jn1J9ECYUtjb6rKQVmtYaixWPP/logo.png,,,,,0xF5a367b7809e5683538C93Ce638B9258A0B88271,['pancakeswap'],,,,,,,sol,,
RAY,Raydium (Wormhole),"{'eth': '0xE617dd80c621a5072bD8cBa65E9d76c07327004d', 'terra': 'terra1ht5sepn28z999jx33sdduuxm9acthad507jg9q', 'bsc': '0x13b6A55662f6591f8B8408Af1C73B017E32eEdB8'}",4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,raydium,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R/logo.png,0xE617dd80c621a5072bD8cBa65E9d76c07327004d,,terra1ht5sepn28z999jx33sdduuxm9acthad507jg9q,,0x13b6A55662f6591f8B8408Af1C73B017E32eEdB8,['pancakeswap'],,,,,,,sol,,
SBR,Saber (Wormhole),"{'terra': 'terra17h82zsq6q8x5tsgm5ugcx4gytw3axguvzt4pkc', 'bsc': '0x75344E5693ed5ecAdF4f292fFeb866c2cF8afCF1'}",Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1,saber,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1/logo.svg,,,terra17h82zsq6q8x5tsgm5ugcx4gytw3axguvzt4pkc,,0x75344E5693ed5ecAdF4f292fFeb866c2cF8afCF1,,,,,,,,sol,,
SOL,SOL (Wormhole),"{'eth': '0xD31a59c85aE9D8edEFeC411D448f90841571b89c', 'terra': 'terra190tqwgqx7s8qrknz6kckct7v607cu068gfujpk', 'bsc': '0xfA54fF1a158B5189Ebba6ae130CEd6bbd3aEA76e', 'avax': '0xFE6B19286885a4F7F55AdAD09C3Cd1f906D2478F', 'matic': '0xd93f7e271cb87c23aaa73edc008a79646d1f9912'}",So11111111111111111111111111111111111111112,solana,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/So11111111111111111111111111111111111111112/logo.png,0xD31a59c85aE9D8edEFeC411D448f90841571b89c,['uniswap'],terra190tqwgqx7s8qrknz6kckct7v607cu068gfujpk,,0xfA54fF1a158B5189Ebba6ae130CEd6bbd3aEA76e,['pancakeswap'],0xd93f7e271cb87c23aaa73edc008a79646d1f9912,['quickswap'],0xFE6B19286885a4F7F55AdAD09C3Cd1f906D2478F,['traderjoe'],,,sol,,
SRMso,Serum (Wormhole from Solana),"{'eth': '0xE3ADAA4fb7c92AB833Ee08B3561D9c434aA2A3eE', 'terra': 'terra1dkam9wd5yvaswv4yq3n2aqd4wm5j8n82qc0c7c', 'bsc': '0x12BeffdCEcb547640DC30e1495E4B9cdc21922b4'}",SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,serum,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/xnorPhAzWXUczCP3KjU5yDxmKKZi5cSbxytQ1LgE3kG/logo.png,0xE3ADAA4fb7c92AB833Ee08B3561D9c434aA2A3eE,,terra1dkam9wd5yvaswv4yq3n2aqd4wm5j8n82qc0c7c,,0x12BeffdCEcb547640DC30e1495E4B9cdc21922b4,,,,,,,,sol,,
USDCso,USD Coin (Wormhole from Solana),"{'eth': '0x41f7B8b9b897276b7AAE926a9016935280b44E97', 'terra': 'terra1e6mq63y64zcxz8xyu5van4tgkhemj3r86yvgu4', 'bsc': '0x91Ca579B0D47E5cfD5D0862c21D5659d39C8eCf0', 'avax': '0x0950Fc1AD509358dAeaD5eB8020a3c7d8b43b9DA', 'matic': '0x576cf361711cd940cd9c397bb98c4c896cbd38de'}",EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,usd-coin,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/logo.png,0x41f7B8b9b897276b7AAE926a9016935280b44E97,['uniswap'],terra1e6mq63y64zcxz8xyu5van4tgkhemj3r86yvgu4,,0x91Ca579B0D47E5cfD5D0862c21D5659d39C8eCf0,['pancakeswap'],0x576cf361711cd940cd9c397bb98c4c896cbd38de,['quickswap'],0x0950Fc1AD509358dAeaD5eB8020a3c7d8b43b9DA,,,,sol,,
USDTso,Tether USD (Wormhole from Solana),"{'eth': '0x1CDD2EaB61112697626F7b4bB0e23Da4FeBF7B7C', 'terra': 'terra1hd9n65snaluvf7en0p4hqzse9eqecejz2k8rl5', 'bsc': '0x49d5cC521F75e13fa8eb4E89E9D381352C897c96', 'avax': '0xF0FF231e3F1A50F83136717f287ADAB862f89431', 'matic': '0x3553f861dec0257bada9f8ed268bf0d74e45e89c'}",Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,tether,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB/logo.svg,0x1CDD2EaB61112697626F7b4bB0e23Da4FeBF7B7C,['uniswap'],terra1hd9n65snaluvf7en0p4hqzse9eqecejz2k8rl5,,0x49d5cC521F75e13fa8eb4E89E9D381352C897c96,['pancakeswap'],0x3553f861dec0257bada9f8ed268bf0d74e45e89c,['quickswap'],0xF0FF231e3F1A50F83136717f287ADAB862f89431,,,,sol,,
mSOL,Marinade staked SOL (Wormhole),"{'eth': '0x756bFb452cFE36A5Bc82e4F5f4261A89a18c242b', 'terra': 'terra1qvlpf2v0zmru3gtex40sqq02wxp39x3cjh359y'}",mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So,marinade-staked-sol,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/mSoLzYCxHdYgdzU16g5QSh3i5K3z3KZK7ytfqcJm7So/logo.png,0x756bFb452cFE36A5Bc82e4F5f4261A89a18c242b,,terra1qvlpf2v0zmru3gtex40sqq02wxp39x3cjh359y,,,,,,,,,,sol,,
1INCH,1INCH Token (Wormhole from Ethereum),{'sol': 'AjkPkq3nsyDe1yKcbyZT7N4aK4Evv9om9tzhQD3wsRC'},0x111111111117dC0aa78b770fA6A738034120C302,1inch,,,,,,,,,,,,,,eth,AjkPkq3nsyDe1yKcbyZT7N4aK4Evv9om9tzhQD3wsRC,['dexlab']
